Dataset,Model,AUC,ACC,LOSS,n_samples
OSULeaf,Two-Tower,0.723120,0.458678,0.423009,242
OliveOil,FEDformer,0.722030,0.400000,0.532679,30
OliveOil,Informer,0.505270,0.400000,0.553628,30
OliveOil,TS2Vec,0.498647,0.400000,0.599001,30
OliveOil,Two-Tower,0.956594,0.400000,0.507742,30
PLAID,FEDformer,0.754193,0.351955,0.252174,537
PLAID,Informer,0.817383,0.463687,0.220327,537
PLAID,TS2Vec,0.779917,0.590317,0.256763,537
PLAID,Two-Tower,0.887662,0.662942,0.172782,537
PhalangesOutlinesCorrect,FEDformer,0.837849,0.778523,0.473760,596
PhalangesOutlinesCorrect,Informer,0.826622,0.778523,0.487762,596
PhalangesOutlinesCorrect,TS2Vec,0.709388,0.647651,0.636495,596
PhalangesOutlinesCorrect,Two-Tower,0.851369,0.805369,0.442758,596
Phoneme,FEDformer,0.473355,0.112988,0.111161,1894
Phoneme,Informer,0.569564,0.112988,0.121432,1894
Phoneme,TS2Vec,0.496155,0.130412,0.158561,1894
Phoneme,Two-Tower,0.535178,0.109293,0.115262,1894
PickupGestureWiimoteZ,FEDformer,0.694667,0.200000,0.308556,50
PickupGestureWiimoteZ,Informer,0.797778,0.200000,0.351838,50
PickupGestureWiimoteZ,TS2Vec,0.520000,0.180000,0.514739,50
PickupGestureWiimoteZ,Two-Tower,0.897333,0.640000,0.202042,50
PigAirwayPressure,FEDformer,0.499434,0.038462,0.095375,208
PigAirwayPressure,Informer,0.502687,0.019231,0.238529,208
PigAirwayPressure,TS2Vec,0.516426,0.028846,0.393117,208
PigAirwayPressure,Two-Tower,0.467642,0.019231,0.099967,208
PigArtPressure,FEDformer,0.502357,0.019231,0.095805,208
PigArtPressure,Informer,0.508602,0.028846,0.239790,208
PigArtPressure,TS2Vec,0.479520,0.004808,0.314846,208
PigArtPressure,Two-Tower,0.478790,0.028846,0.098169,208
PigCVP,FEDformer,0.500495,0.019231,0.095522,208
PigCVP,Informer,0.471743,0.024038,0.235751,208
PigCVP,TS2Vec,0.534125,0.024038,0.333022,208
PigCVP,Two-Tower,0.487368,0.014423,0.098138,208
Plane,FEDformer,0.940574,0.733333,0.335534,105
Plane,Informer,0.967199,0.304762,0.413055,105
Plane,TS2Vec,0.540611,0.114286,0.430540,105
Plane,Two-Tower,0.997893,0.961905,0.055607,105
PowerCons,FEDformer,0.785556,0.716667,0.563929,180
PowerCons,Informer,0.984074,0.922222,0.189977,180
PowerCons,TS2Vec,0.919877,0.816667,0.643083,180
PowerCons,Two-Tower,0.988148,0.972222,0.142302,180
ProximalPhalanxOutlineAgeGroup,FEDformer,0.700107,0.716981,0.423508,106
ProximalPhalanxOutlineAgeGroup,Informer,0.772699,0.773585,0.472325,106
ProximalPhalanxOutlineAgeGroup,TS2Vec,0.550902,0.773585,0.460916,106
ProximalPhalanxOutlineAgeGroup,Two-Tower,0.814645,0.754717,0.362090,106
ProximalPhalanxOutlineCorrect,FEDformer,0.967925,0.925620,0.190854,121
ProximalPhalanxOutlineCorrect,Informer,0.934591,0.917355,0.330348,121
ProximalPhalanxOutlineCorrect,TS2Vec,0.949686,0.876033,0.405449,121
ProximalPhalanxOutlineCorrect,Two-Tower,0.968553,0.942149,0.172647,121
ProximalPhalanxTW,FEDformer,0.784038,0.544715,0.364846,123
ProximalPhalanxTW,Informer,0.833592,0.544715,0.377645,123
ProximalPhalanxTW,TS2Vec,0.517581,0.544715,0.389598,123
ProximalPhalanxTW,Two-Tower,0.909372,0.756098,0.269882,123
RefrigerationDevices,FEDformer,0.669487,0.510989,0.656941,364
RefrigerationDevices,Informer,0.690719,0.585165,0.558587,364
RefrigerationDevices,TS2Vec,0.699888,0.541209,0.607669,364
RefrigerationDevices,Two-Tower,0.645533,0.467033,0.751124,364
Rock,FEDformer,0.639561,0.380000,0.557543,50
Rock,Informer,0.575306,0.300000,0.593243,50
Rock,TS2Vec,0.482177,0.280000,0.648657,50
Rock,Two-Tower,0.953146,0.880000,0.179190,50
ScreenType,FEDformer,0.550273,0.200000,0.618006,60
ScreenType,Informer,0.579951,0.350000,0.631253,60
ScreenType,TS2Vec,0.597452,0.500000,0.619203,60
ScreenType,Two-Tower,0.630590,0.433333,0.635541,60
SemgHandGenderCh2,FEDformer,0.669158,0.678333,0.623796,600
SemgHandGenderCh2,Informer,0.819927,0.731667,0.543106,600
SemgHandGenderCh2,TS2Vec,0.709768,0.690000,0.660236,600
SemgHandGenderCh2,Two-Tower,0.895470,0.805000,0.426804,600
SemgHandMovementCh2,FEDformer,0.600492,0.231111,0.442564,450
SemgHandMovementCh2,Informer,0.706216,0.395556,0.418257,450
SemgHandMovementCh2,TS2Vec,0.618133,0.331111,0.443757,450
SemgHandMovementCh2,Two-Tower,0.725410,0.335556,0.417734,450
SemgHandSubjectCh2,FEDformer,0.712889,0.388889,0.452189,450
SemgHandSubjectCh2,Informer,0.810247,0.568889,0.375149,450
SemgHandSubjectCh2,TS2Vec,0.731043,0.482222,0.476216,450
SemgHandSubjectCh2,Two-Tower,0.918407,0.760000,0.273248,450
ShakeGestureWiimoteZ,FEDformer,0.692444,0.360000,0.304465,50
ShakeGestureWiimoteZ,Informer,0.748889,0.300000,0.347108,50
ShakeGestureWiimoteZ,TS2Vec,0.544444,0.140000,0.517236,50
ShakeGestureWiimoteZ,Two-Tower,0.936444,0.680000,0.198634,50
ShapeletSim,FEDformer,0.557778,0.533333,0.691378,180
ShapeletSim,Informer,0.897531,0.500000,0.682326,180
