Dataset,Correlation Two-Tower AUC,Correlation Two-Tower ACC,Correlation Two-Tower LOSS,Correlation Two-Tower N,Transformer-only AUC,Transformer-only ACC,Transformer-only LOSS,Transformer-only N,Two-Tower AUC,Two-Tower ACC,Two-Tower LOSS,Two-Tower N
TwoLeadECG,0.660210,0.593503,0.666149,1139,0.609604,0.579456,0.689187,1139,0.733019,0.631255,0.616907,1139
TwoPatterns,0.922349,0.751832,0.305269,3957,0.926797,0.801112,0.301856,3957,0.919840,0.758908,0.311917,3957
UMD,0.927373,0.729167,0.361467,144,0.900101,0.611111,0.428029,144,0.936487,0.715278,0.351549,144
UWaveGestureLibraryAll,0.987237,0.918972,0.079148,3579,0.987139,0.913104,0.080556,3579,0.987434,0.919251,0.078604,3579
UWaveGestureLibraryX,0.918351,0.742742,0.180503,3238,0.902476,0.693329,0.192085,3238,0.921573,0.746140,0.179435,3238
UWaveGestureLibraryY,0.915703,0.640674,0.210198,3206,0.914211,0.642233,0.209482,3206,0.915566,0.636619,0.210623,3206
UWaveGestureLibraryZ,0.907842,0.667081,0.204798,3220,0.901737,0.660248,0.211273,3220,0.909259,0.671739,0.203550,3220
Wafer,0.998661,0.984499,0.033826,5935,0.999193,0.988037,0.024590,5935,0.998475,0.985847,0.035213,5935
Wine,0.687243,0.555556,0.680445,54,0.648834,0.500000,0.696555,54,0.588477,0.462963,0.696634,54
WordSynonyms,0.809583,0.553292,0.105418,638,0.797853,0.547022,0.108269,638,0.810953,0.572100,0.105782,638
Worms,0.697304,0.441558,0.514223,77,0.678198,0.493506,0.558206,77,0.697067,0.441558,0.516826,77
WormsTwoClass,0.583333,0.545455,0.673996,77,0.657025,0.623377,0.699509,77,0.586088,0.545455,0.674203,77
Yoga,0.785752,0.733333,0.570219,3000,0.768913,0.697000,0.588954,3000,0.792950,0.733667,0.561833,3000
