Dataset,FEDformer AUC,FEDformer ACC,FEDformer LOSS,FEDformer N,Informer AUC,Informer ACC,Informer LOSS,Informer N,TS2Vec AUC,TS2Vec ACC,TS2Vec LOSS,TS2Vec N,Two-Tower AUC,Two-Tower ACC,Two-Tower LOSS,Two-Tower N
PowerCons,0.785556,0.716667,0.563929,180,0.984074,0.922222,0.189977,180,0.919877,0.816667,0.643083,180,0.988148,0.972222,0.142302,180
ProximalPhalanxOutlineAgeGroup,0.700107,0.716981,0.423508,106,0.772699,0.773585,0.472325,106,0.550902,0.773585,0.460916,106,0.814645,0.754717,0.362090,106
ProximalPhalanxOutlineCorrect,0.967925,0.925620,0.190854,121,0.934591,0.917355,0.330348,121,0.949686,0.876033,0.405449,121,0.968553,0.942149,0.172647,121
ProximalPhalanxTW,0.784038,0.544715,0.364846,123,0.833592,0.544715,0.377645,123,0.517581,0.544715,0.389598,123,0.909372,0.756098,0.269882,123
RefrigerationDevices,0.669487,0.510989,0.656941,364,0.690719,0.585165,0.558587,364,0.699888,0.541209,0.607669,364,0.645533,0.467033,0.751124,364
Rock,0.639561,0.380000,0.557543,50,0.575306,0.300000,0.593243,50,0.482177,0.280000,0.648657,50,0.953146,0.880000,0.179190,50
ScreenType,0.550273,0.200000,0.618006,60,0.579951,0.350000,0.631253,60,0.597452,0.500000,0.619203,60,0.630590,0.433333,0.635541,60
SemgHandGenderCh2,0.669158,0.678333,0.623796,600,0.819927,0.731667,0.543106,600,0.709768,0.690000,0.660236,600,0.895470,0.805000,0.426804,600
SemgHandMovementCh2,0.600492,0.231111,0.442564,450,0.706216,0.395556,0.418257,450,0.618133,0.331111,0.443757,450,0.725410,0.335556,0.417734,450
SemgHandSubjectCh2,0.712889,0.388889,0.452189,450,0.810247,0.568889,0.375149,450,0.731043,0.482222,0.476216,450,0.918407,0.760000,0.273248,450
ShakeGestureWiimoteZ,0.692444,0.360000,0.304465,50,0.748889,0.300000,0.347108,50,0.544444,0.140000,0.517236,50,0.936444,0.680000,0.198634,50
ShapeletSim,0.557778,0.533333,0.691378,180,0.897531,0.500000,0.682326,180,0.412469,0.427778,0.694654,180,0.524321,0.488889,0.710864,180
ShapesAll,0.810172,0.158333,0.076385,600,0.676177,0.016667,0.084619,600,0.586811,0.093333,0.083824,600,0.926949,0.721667,0.035650,600
SmallKitchenAppliances,0.780313,0.754386,0.361925,57,0.670373,0.789474,0.352276,57,0.650109,0.771930,0.408485,57,0.724047,0.771930,0.390457,57
SonyAIBORobotSurface1,0.686029,0.430718,0.860142,599,0.965957,0.437396,0.679720,599,0.179693,0.430718,0.722461,599,0.953704,0.611018,0.591437,599
SonyAIBORobotSurface2,0.649110,0.616931,0.662644,945,0.894841,0.813757,0.507206,945,0.670334,0.617989,0.669465,945,0.859819,0.787302,0.460621,945
StarLightCurves,0.976734,0.960782,0.109722,8236,0.942322,0.867654,0.186262,8236,0.926500,0.849077,0.285178,8236,0.978197,0.938320,0.128454,8236
Strawberry,0.983925,0.948649,0.163111,370,0.858703,0.708108,0.582857,370,0.690890,0.643243,0.630285,370,0.965272,0.905405,0.232974,370
SwedishLeaf,0.937013,0.688000,0.147090,625,0.790232,0.236800,0.219935,625,0.833268,0.131200,0.236786,625,0.987241,0.854400,0.072569,625
Symbols,0.801102,0.333668,0.423900,995,0.912589,0.173869,0.502511,995,0.566011,0.164824,0.586985,995,0.974598,0.761809,0.184895,995
SyntheticControl,0.771493,0.456667,0.376998,300,0.989933,0.946667,0.156504,300,0.891133,0.943333,0.421795,300,0.976240,0.943333,0.148371,300
ToeSegmentation1,0.737423,0.666667,0.641999,228,0.740509,0.719298,0.648989,228,0.732948,0.671053,0.681735,228,0.582253,0.526316,0.725197,228
ToeSegmentation2,0.796384,0.776923,0.511831,130,0.667453,0.869231,0.584751,130,0.628145,0.838462,0.673551,130,0.645440,0.738462,0.601987,130
Trace,0.938168,0.420000,0.512040,100,0.937546,0.720000,0.397314,100,0.946389,0.430000,0.535357,100,0.968534,0.740000,0.184382,100
TwoLeadECG,0.830583,0.693591,0.647446,1139,0.852237,0.737489,0.665629,1139,0.642321,0.500439,0.691187,1139,0.733019,0.631255,0.616907,1139
TwoPatterns,0.951759,0.912813,0.232206,3957,0.933520,0.813748,0.212909,3957,0.958173,0.893101,0.444067,3957,0.919840,0.758908,0.311917,3957
UMD,0.930194,0.888889,0.443809,144,0.901837,0.701389,0.516242,144,0.796658,0.333333,0.635250,144,0.936487,0.715278,0.351549,144
UWaveGestureLibraryAll,0.906828,0.668623,0.240971,3579,0.933533,0.683990,0.238168,3579,0.862118,0.503493,0.340777,3579,0.987434,0.919251,0.078604,3579
UWaveGestureLibraryX,0.864094,0.589253,0.274391,3238,0.872069,0.657505,0.251836,3238,0.865103,0.556208,0.335087,3238,0.921573,0.746140,0.179435,3238
UWaveGestureLibraryY,0.809025,0.436993,0.303586,3206,0.879821,0.551466,0.269441,3206,0.832236,0.454772,0.340712,3206,0.915566,0.636619,0.210623,3206
UWaveGestureLibraryZ,0.854062,0.490373,0.276907,3220,0.868313,0.576398,0.254049,3220,0.855527,0.524224,0.328004,3220,0.909259,0.671739,0.203550,3220
Wafer,0.999800,0.993934,0.015237,5935,0.981059,0.966133,0.094938,5935,0.935048,0.887953,0.327715,5935,0.998475,0.985847,0.035213,5935
Wine,0.598080,0.500000,0.696905,54,0.622771,0.500000,0.692948,54,0.473251,0.500000,0.694238,54,0.588477,0.462963,0.696634,54
WordSynonyms,0.639257,0.269592,0.145836,638,0.558795,0.219436,0.153760,638,0.508588,0.219436,0.162190,638,0.810953,0.572100,0.105782,638
Worms,0.861664,0.545455,0.370872,77,0.557654,0.428571,0.472566,77,0.583169,0.428571,0.458453,77,0.697067,0.441558,0.516826,77
WormsTwoClass,0.724518,0.597403,0.653057,77,0.612259,0.558442,0.676642,77,0.602617,0.571429,0.675897,77,0.586088,0.545455,0.674203,77
Yoga,0.723954,0.652333,0.608608,3000,0.689725,0.658000,0.642629,3000,0.553100,0.555000,0.687998,3000,0.792950,0.733667,0.561833,3000
