Dataset,Model,AUC,ACC,LOSS,n_samples
UWaveGestureLibraryAll,Correlation Two-Tower,0.987237,0.918972,0.079148,3579
UWaveGestureLibraryAll,Transformer-only,0.987139,0.913104,0.080556,3579
UWaveGestureLibraryAll,Two-Tower,0.987434,0.919251,0.078604,3579
UWaveGestureLibraryX,Correlation Two-Tower,0.918351,0.742742,0.180503,3238
UWaveGestureLibraryX,Transformer-only,0.902476,0.693329,0.192085,3238
UWaveGestureLibraryX,Two-Tower,0.921573,0.746140,0.179435,3238
UWaveGestureLibraryY,Correlation Two-Tower,0.915703,0.640674,0.210198,3206
UWaveGestureLibraryY,Transformer-only,0.914211,0.642233,0.209482,3206
UWaveGestureLibraryY,Two-Tower,0.915566,0.636619,0.210623,3206
UWaveGestureLibraryZ,Correlation Two-Tower,0.907842,0.667081,0.204798,3220
UWaveGestureLibraryZ,Transformer-only,0.901737,0.660248,0.211273,3220
UWaveGestureLibraryZ,Two-Tower,0.909259,0.671739,0.203550,3220
Wafer,Correlation Two-Tower,0.998661,0.984499,0.033826,5935
Wafer,Transformer-only,0.999193,0.988037,0.024590,5935
Wafer,Two-Tower,0.998475,0.985847,0.035213,5935
Wine,Correlation Two-Tower,0.687243,0.555556,0.680445,54
Wine,Transformer-only,0.648834,0.500000,0.696555,54
Wine,Two-Tower,0.588477,0.462963,0.696634,54
WordSynonyms,Correlation Two-Tower,0.809583,0.553292,0.105418,638
WordSynonyms,Transformer-only,0.797853,0.547022,0.108269,638
WordSynonyms,Two-Tower,0.810953,0.572100,0.105782,638
Worms,Correlation Two-Tower,0.697304,0.441558,0.514223,77
Worms,Transformer-only,0.678198,0.493506,0.558206,77
Worms,Two-Tower,0.697067,0.441558,0.516826,77
WormsTwoClass,Correlation Two-Tower,0.583333,0.545455,0.673996,77
WormsTwoClass,Transformer-only,0.657025,0.623377,0.699509,77
WormsTwoClass,Two-Tower,0.586088,0.545455,0.674203,77
Yoga,Correlation Two-Tower,0.785752,0.733333,0.570219,3000
Yoga,Transformer-only,0.768913,0.697000,0.588954,3000
Yoga,Two-Tower,0.792950,0.733667,0.561833,3000
